번호,소관부처,사업수행기관,지원분야,공고명,신청시작일자,신청종료일자,등록일자,공고상세URL,신청기간,지원대상,사업개요,해시태그,지원분야중분류,조회수
788,경상북도,경상북도경제진흥원,경영,[경북] 청도군 2026년 소상공인 카드수수료 지원사업 참여 점포 모집 공고,,,2026-05-29,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122580,예산 소진시까지,소상공인,"경상북도와 청도군, 경상북도경제진흥원은 경기 침체로 어려움을 겪고 있는 소상공인을 위한 ‘소상공인 카드수수료 지원사업’의 참여 점포를 모집하고 있으니, 관심 있는 소상공인분들의 많은 신청 부탁드립니다. ☞ 2025년 매출액 2억원 이하,사업자등록증 상 소재지가 ‘청도군’인 소상공인 ☞ 2025년 카드 매출액의 0.4% 지원 (최저 5만원, 최대 40만원)","경영,경북,2026,매출액,카드수수료,청도군,경상북도경제진흥원,경상북도,소상공인",디자인/상품화/사업화,4354
789,충청남도,천안과학산업진흥원,경영,[충남] 천안시 2026년 기업 스마트 혁신지원단 운영사업 참여기업 모집 공고,,,2026-05-29,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122564,예산 소진시까지,중소기업,천안과학산업진흥원에서는 천안 지역 중소기업의 생산성 향상 및 경쟁력 강화를 지원하기 위해 2026년 “기업 스마트 혁신지원단 운영사업” 참여 기업을 다음과 같이 모집 공고하오니 본 사업에 참여하고자 하는 기업은 절차에 따라 신청하여 주시기 바랍니다. ☞ 본사 또는 공장이 천안시 소재 중소기업 ☞ 경영ㆍ기술 애로해결 지원 - 기업의 경영ㆍ기술 애로사항을 전문위원이 3회 + 추가 4회 이내 현장방문 하여 1:1 맞춤형 애로해결 지원,"경영,충남,2026,천안과학산업진흥원,충청남도,천안시,중소기업,혁신지원단,애로사항,전문가,현장방문,컨설팅",컨설팅,3969
790,충청남도,천안과학산업진흥원,기술,[충남] 천안시 2026년 기술이전ㆍ가치평가 지원사업 참여기업 모집 공고,,,2026-05-29,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122563,예산 소진시까지,중소기업,"천안시 중소기업의 기술금융 여건 마련 및 혁신 성장성 촉진을 지원하기 위해 2026년 “천안 기술이전·가치평가 지원사업”을 다음과 같이 공고하오니 본 사업에 참여하고자 하는 기업은 절차에 따라 신청하여 주시기 바랍니다. ☞ 천안 소재(본사, 공장, 부설연구소, 지점, 사무소 등) 전략산업 중소기업 ☞ IP창출(특허출원), IP거래(기술이전), IP활용(기술가치평가) 지원 ※ 자세한 지원내용 공고문 참조","기술,충남,2026,천안과학산업진흥원,충청남도,천안시,특허출원,중소기업,기술이전,기술가치평가,출원비용,이전비용,IP창출,IP거래,IP활용",기술사업화/이전/지도,4015
791,울산광역시,KOTRA울산지원본부,수출,[울산] 2026년 AI무역지원센터 활용 해외 홍보 지원사업 모집 공고,,,2026-05-28,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122551,예산 소진시까지,중소기업,"KOTRA울산지원본부에서 울산 소재 중소기업을 대상으로「2026 울산AI무역지원센터 활용 해외 홍보 지원사업」수혜기업을 모집합니다. 울산지역 중소기업 관계자 분들의 많은 관심과 신청 바랍니다. ☞ 울산 소재 중소기업 ☞ 외국어 홍보물 제작 비용(공급가액)의 80%(부가세 기업부담), 기업당 최대 1백만원 지원 - (무료) 울산AI무역지원센터를 활용한 제품 사진촬영 및 buyKOREA 플랫폼 제품 등록 지원 - 지원분야 : 외국어 카탈로그(홍보 동영상, e카탈로그 등 포함), 외국어 홈페이지 제작, 해외 유명 광고매체 광고, 해외 온","수출,울산,울산AI무역지원센터,2026,사진촬영,울산광역시,중소기업,KOTRA울산지원본부,외국어홍보물,홍보물,해외홍보",해외진출준비,7071
792,경상북도,경상북도경제진흥원,인력,[경북] 2026년 중대재해 예방 사각지대 해소 지원사업 참여기업 모집 변경 공고,2026-05-27,2026-12-31,2026-05-28,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122526,,중소기업,경상북도와 경상북도경제진흥원은 도내기업을 대상으로 산업현장의 중대재해 예방 및 안전관리체계 구축을 지원하기 위한「경상북도 중대재해 예방 사각지대 해소 지원사업」 참여기업을 다음과 같이 모집 하오니 많은 신청 바랍니다. ☞ 경상북도 내 소재 5인 이상 50인 미만 영세사업장(제조업) ☞ 안전보건관리체계 구축 컨설팅 및 위험성평가 - 산업현장 맞춤형 안전환경 개선 지원 - 근로자 대상 안전교육 및 중대재해 예방 교육 - 맞춤형 안전관리 지원,"인력,경북,안전장치설치,설비보완,2026,의사소통,안전환경,예방교육,안전진단,메뉴얼,현장방문,안전교육,위험성평가,경상북도경제진흥원,컨설팅,경상북도,제조업",작업환경개선,3811
793,과학기술정보통신부,한국인터넷진흥원,경영,침해사고 예방을 위한 취약점 점검 무료 지원 모집 공고,2026-05-19,2026-12-11,2026-05-28,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122516,,중소기업,"최근 기업 대상 개인정보 유출 및 랜섬웨어 감염 사례가 지속적으로 발생하는 것과 관련하여 과학기술정보통신부와 한국인터넷진흥원은 사이버 위협에 노출된 민간 기업 및 비영리 기관을 대상으로 홈페이지 및 IT자산에 대한 취약점 점검(ASM 활용)을 지원하고 있습니다. ☞ 도메인 또는 IP를 보유한 기업 및 비영리기관 ☞ 외부에 노출된 우리 회사 정보 확인, 해커가 노릴 수 있는 취약 지점 분석, 다크웹 유출 정보 탐지, 위험도별 결과 리포트 제공","경영,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,정보확인,정보탐지,ASM,IP자산,도메인,2026,리포트,취약점점검,랜섬웨어,홈페이지,한국인터넷진흥원,과학기술정보통신부,IP",정보화지원,4434
794,고용노동부,한국경영혁신중소기업협회,인력,2026년 SW개발자 채용기업 모집 공고(K-Digital Training 벤처ㆍ스타트업 아카데미),,,2026-05-28,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122497,상시 접수,중소기업,"한국경영혁신중소기업협회는 고용노동부와 함께 SW개발자 양성을 위한 'K-디지털트레이닝(벤처ㆍ스타트업유형)을 운영하고 있습니다. 'K-디지털트레이닝(벤처ㆍ스타트업) 사업은 참여기업과 함께 교육과정 수립하고 채용 연계까지 지원하는 인재 양성사업으로 무료로 참여하실 수 있습니다. ☞ 피보험자 수 5인 이상 기업, 디지털 분야 인재 양성 및 산학 협력에 관심 있는 기업, SW 개발 인재 채용 계획 또는 관심이 있는 기업 ☞ 맞춤형 디지털 인재 DB, 인건비 지원사업 연계, SW 전문가 활동비, 기업 홍보 지원","인력,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,SW전문가,디지털트레이닝,2026,DB,양성사업,활동비,SW개발,한국경영혁신중소기업협회,디지털,인건비,홍보,고용노동부,교육",국내일반인력,8636
795,충청남도,충남지식재산센터,경영,[충남] 2026년 IP디딤돌 프로그램 창업자 후속지원 대상자 모집 공고,,,2026-05-27,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122492,예산 소진시까지,창업벤처,"충남북부상공회의소 충남지식재산센터에서는 IP디딤돌 프로그램 수혜자의 사업화 및 성장을 지원하기 위해 「창업자 후속지원 사업」을 다음과 같이 공고하오니 관련 절차에 따라 신청하여 주시기 바랍니다. ☞ 2024년~2026년도 IP디딤돌 프로그램 아이디어 권리화를 지원받은 창업자 ☞ 특허망, PCT, 신규 브랜드 개발, 제품디자인 개발, 화상디자인 개발, 포장디자인 개발 지원","창업,경영,충남,2026,충청남도,충남지식재산센터,충남북부상공회의소,IP디딤돌프로그램,특허망,PCT,신규브랜드개발,제품디자인개발,화상디자인개발,포장디자인개발",디자인/상품화/사업화,6289
796,충청북도,충청북도기업진흥원,수출,[충북] 2026년 소비재산업 종합무역상담회 개최사업 참여기업 모집 공고,2026-05-26,2026-08-31,2026-05-27,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122474,,중소기업,"충청북도와 충청북도기업진흥원은 공동으로 2026 충북 소비재산업 종합무역상담회 개최사업을 추진합니다. 도내 중소·중견 기업들의 많은 참여 바랍니다. ☞ 충북도 내 중소ㆍ중견기업 - 상담품목 : 소비재(화장품, 식품, 잡화) 등 종합품목 ☞ 해외바이어 – 도내기업 1:1 수출상담회(2회), 수출협약식 등 지원","수출,충북,2026,충청북도,충청북도기업진흥원,소비재,무역상담회,해외바이어,화장품,식품,잡화",해외진출준비,4951
797,해양수산부,해양수산과학기술진흥원,기술,2026년 해양수산 연구장비 렌탈지원사업 공고,,,2026-05-27,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122473,선착순 접수,중소기업,"「2026년 해양수산 연구장비 렌탈지원사업」을 아래와 같이 안내하오니 많은 참여 바랍니다. ☞ 해양수산 분야 산ㆍ학ㆍ연 연구자 및 연구기관 ※ 해양수산부에서 지원하는 공모형 R&D를 포함하여, 해양수산 관련 연구를 수행하고 있는 모든 연구자로 국가연구자번호(NRI)를 부여 받은 자 ☞ 조사ㆍ관측 장비 및 분석장비 렌탈 지원 ※ 자세한 지원내용 공고문 참조","기술,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,해양수산부,해양수산과학기술진흥원,2026,해양수산,해양수산분야,장비,분석장비,조사장비,관측장비,렌탈,연구장비,연구장비렌탈",기술인력/장비지원,3882
798,강원특별자치도,강원특별자치도경제진흥원,수출,[강원] 인제군 2026년 중소기업 해외물류비 지원사업 공고,,,2026-05-27,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122470,예산 소진시까지,중소기업,"인제군 중소기업 우수제품의 해외시장 판로개척과 수출비용 부담완화를 위한「2026년 인제군 중소기업 해외물류비 지원사업」을 아래와 같이 공고하오니 많은 참여 바랍니다. ☞ 인제군 소재 중소 제조, 서비스업, 수출대행기업 - 인제군 소재 중소 제조기업(OEM포함) - 인제군 소재 중소 서비스기업(서비스, 콘텐츠, 스포츠, 예술 등) - 인제군 소재 업체에서 제조한 제품을 수출한 수출대행기업 ☞ 수출 목적 해외 물류비 지원(25.1.1일 이후 물류비 소급지원) - 총물류비(국내ㆍ해상ㆍ통관비용 등) 중 지원기업이 자부담한 금액 지원 - 해","수출,강원,2026,강원특별자치도경제진흥원,강원특별자치도,수출대행기업,인제군,해상,국제특송,물류비,해외물류비,통관,서비스기업,제조기업,제조업,중소기업",시장개척,3603
799,울산광역시,울산테크노파크,기술,[울산] 2026년 기술이전지원사업 기술코칭프로그램 참여기업 모집 공고,,,2026-05-27,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122442,예산 소진시까지,중소기업,"2026년도 울산광역시가 지원하는 기술이전지원사업의 일환으로 울산 소재 기업의 기술애로 해결 및 기술거래 활성화를 위하여 기술코칭 참가를 희망하는 기업을 아래와 같이 모집하오니 많은 참여 바랍니다. ☞ 울산지역 소재 기업으로 최근 3년(‘24~’26) 이내 기술이전 기업 또는 당해연도 기술이전 예정 기업 ☞ 도입기술, 기술성장 코칭 지원","기술,울산,기술이전 기업,기술코칭프로그램,기술이전지원사업,2026,도입기술,기술코칭,울산테크노파크,울산광역시,기술성장,기술이전",기술사업화/이전/지도,3718
800,대구광역시,대구테크노파크,경영,[대구] 2026년 (Pre)스타기업 육성사업 개별지원 유형별 특성화지원 통합 공고,,,2026-05-26,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122433,세부사업별 상이,중소기업,"2026년 (Pre)스타기업 육성사업 개별지원「유형별 특성화지원」에 대해 아래와 같이 공고합니다. ☞ 대구시 스타기업(스타기업, Pre-스타기업 등) ☞ 3개 지원유형(혁신촉진형, 경쟁력강화형, 시장진출형)으로 세분화하여 기업 수요기반 맞춤형 지원 - 혁신촉진형 : 신사업도전, ESG상생, 투자유치 - 경쟁력강화형 : 시제품 제작, 제품 고도화, 공정개선, 특허, 인증 지원, 경영컨설팅 등 - 시장 진출형 : 마케팅(전시회 참가, 온오프라인 홍보 등), 디자인, 컨설팅 등 ※ 자세한 지원내용 공고문 참조","기술,내수,경영,대구,경쟁력강화형,혁신촉진형,2026,시장진출형,대구테크노파크,스타기업,대구광역시,신사업도전,ESG상생,투자유치,시제품제작,제품고도화,공정개선,특허,인증,컨설팅,디자인,마케팅,pre스타기업",디자인/상품화/사업화,6935
801,문화체육관광부,한국콘텐츠진흥원,경영,2026년 콘텐츠 기업 노무 컨설팅 참가기업 모집 공고,,,2026-05-26,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122428,예산 소진시까지,중소기업,"한국콘텐츠진흥원은 일하는 방식 및 고용환경 변화에 따른 국내 콘텐츠 기업의 경쟁력 강화를 위해 기업 맞춤형 노무 컨설팅을 지원할 예정입니다. 콘텐츠 기업의 많은 관심과 참여 바랍니다. ☞ 콘텐츠 기업(개인/법인사업자) ※ 콘텐츠 기업 : 방송, 출판, 만화, 음악, 게임, 애니메이션, 캐릭터, 콘텐츠솔루션, 공연 등 ※ 상시근로자 수 : 공고 게시일로부터 제출일 이내 대표를 제외한 4대 보험 가입자명부 기준 ※ 중소기업기본법 시행령 제8조에 따른 중소기업이 아닌 경우 신청 불가 ※ 방송법 제2조 3호에 의거한 방송사업자 신청 불가 ","인력,경영,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,2026,종합컨설팅,노무컨설팅,기초진단,노무,콘텐츠기업,한국콘텐츠진흥원,문화체육관광부,컨설팅,콘텐츠,상담",컨설팅,6237
802,경기도,부천산업진흥원,경영,[경기] 부천시 IBK ESG 컨설팅 참가기업 모집 공고,,,2026-05-26,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122420,예산 소진시까지,중소기업,"최근 급변하는 글로벌 경영 환경 속에서 ESG(환경ㆍ사회ㆍ지배구조)는 중소기업의 지속가능한 성장을 위한 필수 패러다임으로 부각되고 있습니다. 이에 따라 부천산업진흥원에서는 IBK기업은행과 협력하여 지역내 중소기업의 구조적 전환과 경쟁력 강화를 돕기 위한 「IBK ESG 컨설팅 지원사업」의 참여기업을 모집하오니 ESG 경영체계 구축을 통해 기업가치를 한단계 높이고자 하는 역량 있는 기업들의 많은 관심과 신청 바랍니다. ☞ 부천 소재 중소기업 ☞ ESG 교육, ESG 진단, 컨설팅 지원 - ESG 교육 : ESG 인식제고 및 변화관리를","경영,경기,2026,경기도,부천산업진흥원,부천시,중소기업,ESG,교육,진단,컨설팅,ESG교육,ESG진단,ESG컨설팅",컨설팅,5428
803,경기도,용인시산업진흥원,경영,[경기] 용인시 2026년 공공조달 멘토링 지원 참여기업 모집 공고,,,2026-05-26,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122418,선착순 접수,중소기업,용인시산업진흥원에서는 용인시 중소기업의 공공조달시장 진출을 위한 2026년 공공조달 멘토링 지원 사업을 다음과 같이 모집하오니 많은 관심과 신청 바랍니다. ☞ 용인 소재 본사 또는 공장이 있는 중소기업 ☞ 공공시장 진입을 위한 기초 멘토링 지원 ※ 자세한 지원내용 공고문 참조,"내수,경영,경기,서류준비,낙찰전략,2026,벤처나라,용인시산업진흥원,용인시,공공조달시장,전자입찰,나라장터,공공판로,경기도,멘토링,중소기업",컨설팅,5528
804,경상북도,경상북도경제진흥원,경영,[경북] 포항시 2026년 신산업플러스 일자리창출 우수기업 지원사업 참여기업 추가모집 공고,,,2026-05-26,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122409,예산 소진시까지,중소기업,"포항시와 경북경제진흥원에서는「2026년 포항시 신산업플러스 일자리창출 우수기업 지원사업」을 추진하고 있습니다. 참여를 희망하시는 기업은 신청하여 주시기 바랍니다. ☞ 포항시 소재 중소기업으로 하단의 조건을 모두 충족하는 기업 ① 기업규모 :「중소기업기본법」상 중소기업이며, 근로자수가 5인 이상이고, 포항에 본점 또는 주 사업장이 있는 기업 ② 고용유지: 2024년 12월말 대비 2025년 12월말 고용인원을 유지 ③ 신규채용: 2025년도 7월 1일 이후부터 신청일 현재 신규채용 인원이 3명 이상, 또는 고용증가율(2024.12.3","인력,경영,경북,근로복지향상,2026,근로자건강증진,경영여건개선,근로환경개선,신규채용,포항시,고용유지,기술고도화,신산업,제품고도화,경상북도경제진흥원,일자리창출,경상북도,중소기업",디자인/상품화/사업화,3670
805,제주특별자치도,제주테크노파크,기술,[제주] 2026년 전기차 사용 후 배터리 실증 지원사업(KC인증) 상시모집 공고,,,2026-05-26,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122394,상시 접수,중소기업,"제주특별자치도와 제주테크노파크에서는 사용후 배터리 기반의 신산업 생태계를 구축하고, 지역기업의 제품 경쟁력 강화를 위한 KC 인증 지원사업을 공고하오니 관련 기업의 많은 관심과 참여 바랍니다. ☞ 공고일 기준 제주지역에 사업자등록을 한 기업 ※ 사업자등록증 기준 - 공고일 기준 제주지역에 사업자등록 및 제주산업정보서비스(http://jeis.or.kr)에 등록된 기업(제주 산업정보서비스 회원가입 상시 가능) ☞ 제품에 적용된 사용후 배터리 및 활용 개발 제품에 대한 KC 10031 인증 컨설팅 및 인증 획득 지원(1개사당 최대 25","기술,제주,2026,KC인증,사용후배터리,인증컨설팅,전기차,제주테크노파크,배터리,제주특별자치도,인증",시험/인증,4268
806,경기도,기초자치단체,금융,2026년 과천시 중소기업 및 소상공인 육성자금 이자차액보전 지원계획 변경 공고,,,2026-05-26,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122373,예산 소진시까지,중소기업,"「과천시 중소기업 및 소상공인 지원 조례」 제5조에 따라, 2026년 과천시 중소기업 및 소상공인 육성자금 이자차액보전 지원계획을 아래와 같이 공고합니다. ☞ 「과천시 중소기업 및 소상공인 지원 조례」에 따른 중소기업, 벤처기업, 소상공인으로서, 과천시에 사업장을 두고 운영 중인 업체 - 관내로 이전하기 위해 토지 또는 건축물을 매입ㆍ임대 등 계약을 체결하고 비용의 50% 이상 지불했거나 또는 건축허가 등을 받고 공정률이 50%이상인 업체 ※ 자세한 지원대상 공고문 참조 ☞ 중소기업 및 소상공인 융자금(중소기업 5억원, 소상공인 1","금융,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,차액보전,보전,2026,융자금,이자차액,과천시,기초자치단체,벤처기업,경기도,소상공인,중소기업",융자,4948
807,전남광주통합특별시,직접수행,금융,[광주] 2026년 농업발전기금 융자사업 공고,,,2026-05-22,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122368,반기별 상이,중소기업,"농식품 상품성제고와 가공시설확충사업 등을 추진하여 농식품산업 경쟁력 제고 및 농업ㆍ농촌 발전을 도모하기 위한 「2026년도 농업발전기금 융자사업」계획을 다음과 같이 공고합니다. ☞ 광주광역시 관내 농업인과 농업법인, 생산자 단체 및 농식품 제조ㆍ가공업체 ☞ 개소당 50백만원 이내 융자 지원","금융,광주,가공시설확충사업,농업발전기금,농식품산업,농업법인,가공업체,농업인,광주광역시,직접수행,융자,2026,전남광주,전남광주통합특별시",융자,13398
808,충청북도,지방중소벤처기업청,경영,[충북] 2026년 중소기업 경영애로 전문가 컨설팅서비스 참여기업 모집 공고,,,2026-05-22,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122357,예산 소진시까지,중소기업,"충북지방중소벤처기업청은 기업이 당면한 단기 경영애로 해소를 위해 전문가를 통한 현장 맞춤형 컨설팅 서비스를 지원하고자 하오니 컨설팅을 희망하는 기업은 많은 신청을 바랍니다. ☞ 충북 소재 제조 중소기업 - 중소기업 혁신바우처 탈락 기업 - 뿌리산업 영위기업, 창업초기 기업 또는 컨설팅 희망 중소기업 ☞ 경영기술 전략 등 7개 분야 컨설팅ㆍ지도 지원 - 경영기술전략, 스마트공장 추진전략, 시제품 기획, 기술보호, 기술이전 및 지재권, 인증ㆍ연구장비활용시험, 마케팅 전략","경영,충북,충북지방중소벤처기업청,충청북도,2026,지방중소벤처기업청,컨설팅,중소기업,경영애로,경영기술전략,스마트공장,지도,시제품기획,기술보호,지식재산권,기술이전,인증,연구장비활용시험,마케팅",컨설팅,12455
809,인천광역시,인천신용보증재단,금융,[인천] 2026년 원도심ㆍ지역상권 활성화를 위한 상권 활성화 특례보증 지원사업 공고,,,2026-05-22,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122346,예산 소진시까지,소상공인,"소상공인기본법 제3조에 따라 도시정비사업 구역 등 상권 위축 지역 및 골목상권과 중동 사태 장기화로 인한 고유가 피해 소상공인 지원을 위해 「2026년 인천광역시 상권 활성화 특례보증 지원사업」을 다음과 같이 공고합니다. ☞ 인천광역시 소재 소상공인 - 인천광역시 내 도시정비사업 구역ㆍ재정비촉진지구(해제지역포함) 및 인근 지역에 사업장을 둔 소상공인(무점포 소매업(479)은 지원대상에서 제외) - 인천광역시에 사업장을 둔 아래 업종(한국표준산업분류 기준)을 영위하는 소상공인(※ 홈플러스 폐점 피해기업 등 포함) ㆍ 음식점업, 도소매","금융,인천,2026,인천광역시,인천신용보증재단,소상공인,상권활성화,특례보증,융자,이차보전,전통시장",보증,8685
810,산업통상부,지능형자동차부품진흥원,기술,2026년 SDV 전장부품 보안 평가센터 기업지원사업 수혜기업 모집 공고,,,2026-05-22,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122333,모집 완료시,중소기업,"지능형자동차부품진흥원에서는 SDV 지향 전장부품 기업 해외 시장 진출 촉진과 기술 경쟁력 확보를 위한 기업지원 프로그램 운영을 통한 기술 및 사업화 지원을 위해「2026년 SDV 전장부품 보안 평가센터 기업지원사업」수혜기업을 모집 공고하오니 국내 중소ㆍ중견 전장부품 기업의 많은 관심과 신청 바랍니다. ☞ 국내 중소ㆍ중견 전장부품 기업 ☞ 해외 수출 지원, 성능 평가 지원, 기술 지원","기술,경영,서울,부산,대구,인천,전남광주,대전,울산,세종,경기,강원,충북,충남,전북,경북,경남,제주,기업 애로 기술,전장부품 기업,성능 시험 평가 인증,해외 진출,산업통상부,2026,SDV,사이버보안,지능형자동차부품진흥원,전장부품,중견기업,중소기업",기술사업화/이전/지도,5759
811,대구광역시,대구경북과학기술원,경영,[대구ㆍ경북] 경제자유구역기술 창업기업 맞춤형 멘토링 지원 공고,,,2026-05-22,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122332,예산 소진시까지,창업벤처,"대구경북경제자유구역(DGFEZ) 내 유망 기술기업의 역량 강화를 위해, 창업기업이 겪는 경영ㆍ기술ㆍ투자 분야의 실무적 애로사항을 분야별 전문가 멘토링을 통해 해결할 수 있도록 지원 하기 위해 「대구경북경제자유구역기술 창업기업 맞춤형 멘토링 지원」을 실시하오니, 많은 관심과 신청 바랍니다. ☞ 대구경북경제자유구역 내 본사ㆍ공장ㆍ연구소 중 1개 이상 사업자등록증상 소재지를 둔 기술기반 창업기업 ☞ DGIST 창업 전문 멘토단을 활용한 분야별 맞춤형 컨설팅 - 경영 : 비즈니스 모델(BM) 고도화, 인사/노무, 법률, 회계 등 지원 - ","기술,경영,대구,경북,투자자매칭,2026,기술로드맵,대구경북과학기술원,IR컨설팅,제품상용화,노무,애로사항,법률,회계,인사,홍보,판로개척,창업기업,컨설팅,멘토링,대구광역시",컨설팅,5024
812,울산광역시,울산테크노파크,경영,[울산] 2026년 제조데이터 기반 AI 활용 컨설팅 지원기업 모집 공고,2026-05-18,2026-09-25,2026-05-22,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122329,,중소기업,"지역특화 제조데이터 활성화 사업의 일환으로 지역 주력산업과 연계하여 중소 제조기업의 AIㆍ제조데이터 도입 및 활용 역량을 제고하는 컨설팅 지원사업을 추진하오니, 사업 참여를 희망하는 기관은 신청하시기 바랍니다. ☞ 울산 지역 자동차 부품 산업의 중소중견기업 ☞ 지역기업의 현장문제 해결을 위한 제조데이터 기반 AI 활용 컨설팅 지원(진단 및 분석, AI 활용 과제 도출, AI 전환 추진 로드맵 수립)","기술,경영,울산,자동차 부품 산업,제조데이터 도입,2026,제조데이터,울산테크노파크,울산광역시,제조기업,컨설팅,AI",컨설팅,7625
813,고용노동부,경기도 노사민정협의회,경영,[경기] 2026년 일ㆍ생활 균형 제도 도입 지원 컨설팅 참여기업 모집 공고,,,2026-05-22,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122327,선착순 접수,중소기업,"경기도 노사민정협의회에서는 도내 중소ㆍ영세기업의 일ㆍ생활 균형, 노동환경 개선을 위해 일ㆍ생활 균형 제도 도입, 정부ㆍ지자체 지원사업 및 지원금 안내, 인사ㆍ노무관리 등 기업 맞춤형 무료 컨설팅을 지원하오니 많은 참여 바랍니다. ☞ 경기도에 소재지를 둔 상시근로자 10인 이상 중소기업 ☞ 유연근무, 시차출퇴근제, 육아지원 3법, 주 4.5일제 등 일ㆍ생활 균형 제도 도입 지원 - 사업자에서 활용 가능한 정부ㆍ지자체 지원사업 및 지원금 안내 - 인사ㆍ노무관리, 취업규칙, 개정 노동관계법령 준수 등 기업 규정 정비 등 지원","인력,경영,경기,규정정비,4.5일제,경기도 노사민정협의회,노동관계법령,2026,유연근무,노동환경,영세기업,노무관리,인사,고용노동부,경기도,컨설팅,지원사업,중소기업",컨설팅,4252
814,산업통상부,한국산업기술시험원,기술,2026년 바이오 의료기기 해외 진출 지원 제로트러스트 기반구축사업 참여기업 상시 지원 모집 공고,,,2026-05-21,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122309,모집 마감시까지,중소기업,"2026년부터 산업통상자원부가 시행하는 바이오산업기반구축사업 내「바이오의료기기 해외진출지원 제로트러스트 기반구축」과제를 수행하고 있는 건양대학교 산학협력단입니다. 본 과제는 제품의 잠재적 사용오류 및 유용성 개선 등을 통해 국내 의료기기 제품의 글로벌 인허가 대응력 강화를 위한 지원을 수행하고 있습니다. 본 사업단에서 지원하는 분야에 대한 상세 내용을 아래와 같이 공고하오니, 참여를 희망하는 역량있는 기업들의 많은 신청 바랍니다. ☞ 해외 시장 진출을 목표로 하며, 지원이 필요한 경쟁력 있는 바이오 의료기기 제조 기업(HWSW) -","기술,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,글로벌 인허가,해외 인증,바이오의료기기,산업통상부,2026,한국산업기술시험원,제조기업,바이오,국내의료기기,의료기기제품,건양대학교산학협력단",기술사업화/이전/지도,10079
